City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Bethel,US,75.85,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
228,Kutum,SD,77.2,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
229,Kavieng,PG,82.67,light rain,-2.5744,150.7967,Nusa Island Retreat
232,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
233,Mackay,AU,78.04,clear sky,-21.15,149.2,International Lodge Motel
237,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
241,Port Said,EG,76.98,few clouds,31.2565,32.2841,Aracan Hotel
244,Aksu,CN,70.56,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
248,Karratha,AU,77.76,clear sky,-20.7377,116.8463,ibis Styles Karratha
249,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
250,Constantine,DZ,76.41,clear sky,36.365,6.6147,Grand Hotel Cirta
251,Tatawin,TN,77.88,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
252,Abu Road,IN,77.94,scattered clouds,24.4833,72.7833,Private Room In the Heart of the city.
255,Japura,ID,84.78,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
258,Jeremie,HT,80.74,few clouds,18.65,-74.1167,Auberge’Inn
259,Xai-Xai,MZ,70.9,light rain,-25.0519,33.6442,Complexo da Familia
260,Manado,ID,77.77,moderate rain,1.487,124.8455,Aryaduta Hotel
261,Malakal,SS,72.03,overcast clouds,9.5334,31.6605,Nile Palace Hotel
277,Bafq,IR,71.62,clear sky,31.6128,55.4107,Alamdar Hotel
278,Sola,VU,79.29,broken clouds,-13.8833,167.55,Leumerus Bungalows
282,Acarau,BR,79.32,clear sky,-2.8856,-40.12,castelo pizzaria
289,Cockburn Town,TC,83.46,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
290,Salinas,US,74.16,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
291,Spearfish,US,75.42,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
292,Sao Joao Da Barra,BR,74.35,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
293,Dillon,US,75.92,overcast clouds,34.4166,-79.3712,Dillon Express Inn
299,Lorengau,PG,76.68,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
300,Singapore,SG,84.15,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
304,Piney Green,US,80.91,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
306,Kralendijk,BQ,84.18,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
308,Muisne,EC,74.37,light rain,0.6,-80.0333,Quinta Samay
309,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
310,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
311,Kieta,PG,84.94,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
315,Isla Vista,US,77.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
316,Tarakan,ID,78.57,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
319,Steamboat Springs,US,74.79,clear sky,40.485,-106.8317,Steamboat Grand
320,Liberal,US,81.63,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
322,Huilong,CN,78.98,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
