City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Clyde River,CA,70.4692,-68.5914,30.42,78,22,7.07,few clouds
147,Grindavik,IS,63.8424,-22.4338,55.35,100,90,18.41,overcast clouds
148,Tasiilaq,GL,65.6145,-37.6368,39.36,99,100,6.17,light rain
149,Dukat,RU,62.55,155.55,50.74,57,67,5.55,broken clouds
150,Kenai,US,60.5544,-151.2583,54.03,73,90,3.44,light rain
151,Ribeira Grande,PT,38.5167,-28.7,71.29,77,8,6.67,clear sky
152,Gornopravdinsk,RU,60.05,69.9,49.35,97,100,5.82,light rain
153,Tabou,CI,4.423,-7.3528,74.98,90,100,7.65,moderate rain
154,Taoudenni,ML,22.6783,-3.9836,95.9,15,2,9.15,clear sky
155,Berlevag,NO,70.8578,29.0864,40.53,75,71,6.04,broken clouds
156,Pacific Grove,US,36.6177,-121.9166,71.15,83,1,3.0,clear sky
157,Kapaa,US,22.0752,-159.319,85.98,71,40,5.99,scattered clouds
158,Ilo,PE,-17.6394,-71.3375,60.04,83,76,8.5,broken clouds
159,Ludvika,SE,60.1496,15.1878,46.04,93,100,3.62,overcast clouds
160,Manuk Mangkaw,PH,4.8,119.85,78.33,87,100,12.1,light rain
161,Nanortalik,GL,60.1432,-45.2371,38.61,78,2,7.83,clear sky
162,Pontianak,ID,-0.0333,109.3333,82.38,74,20,6.91,few clouds
163,San Quintin,MX,30.4833,-115.95,69.48,76,0,13.8,clear sky
164,Poum,NC,-20.2333,164.0167,71.13,65,77,21.45,broken clouds
165,Souillac,MU,-20.5167,57.5167,68.38,88,40,3.44,light rain
166,Agirish,RU,61.9247,63.0231,40.84,94,100,13.67,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,78.01,80,100,23.78,overcast clouds
168,Abatskoye,RU,56.2875,70.4555,54.0,60,100,7.18,overcast clouds
169,Kodiak,US,57.79,-152.4072,49.51,93,90,23.02,moderate rain
170,Jamame,SO,0.0722,42.7506,75.81,88,40,9.31,scattered clouds
171,Teahupoo,PF,-17.8333,-149.2667,78.76,78,16,15.88,light rain
172,Faanui,PF,-16.4833,-151.75,79.32,71,4,18.12,clear sky
173,Yulara,AU,-25.2406,130.9889,84.04,15,92,10.36,overcast clouds
174,Bom Jesus,BR,-9.0744,-44.3586,76.86,27,0,3.2,clear sky
175,Carnarvon,AU,-24.8667,113.6333,68.07,77,40,11.5,scattered clouds
176,Lac Du Bonnet,CA,50.2536,-96.0612,59.85,75,71,15.1,broken clouds
177,Karpogory,RU,64.0019,44.4451,34.65,96,100,7.11,overcast clouds
178,Smithers,CA,54.7804,-127.1743,55.72,41,40,13.8,scattered clouds
179,Batsfjord,NO,70.6345,29.7185,38.3,83,37,4.07,scattered clouds
180,Calvinia,ZA,-31.4707,19.776,41.86,74,0,5.01,clear sky
181,La Sarre,CA,48.8002,-79.1996,47.34,92,5,2.91,clear sky
182,Plettenberg Bay,ZA,-34.0527,23.3716,51.21,80,9,8.97,clear sky
183,Vung Tau,VN,10.346,107.0843,81.72,79,100,3.44,overcast clouds
184,Macduff,GB,57.6701,-2.4969,56.98,94,99,8.01,overcast clouds
185,Aasiaat,GL,68.7098,-52.8699,21.78,93,67,7.2,broken clouds
186,San Francisco,US,37.7749,-122.4194,76.14,83,20,3.0,smoke
187,Saint Anthony,US,45.0205,-93.218,72.03,46,1,5.01,clear sky
